                                                           Profile results (total time)
Proc Name                                                                                          Self CPU    Total CPU    Real Time        Calls
----------------------------------------------------------------------------------------------    ---------    ---------    ---------    ---------
/datum/controller/process/proc/sleepCheck                                                           251.368      319.419      570.154    108528191
/datum/controller/process/machinery/proc/internal_process_machinery                                 166.541      851.747     1094.484         5089
/datum/controller/process/radiation/doWork                                                          119.267      294.647      372.457         5079
/obj/machinery/proc/powered                                                                          73.747      107.744      112.119     34768554
/datum/controller/processScheduler/proc/getCurrentTickElapsedTime                                    65.286       67.629       83.479    108528191
/obj/machinery/proc/auto_use_power                                                                   49.472      215.350      221.132     33624207
/obj/machinery/proc/use_power                                                                        35.608       55.685       59.251     21035558
/proc/equalize_gases                                                                                 35.261       80.979       81.147       686626
/area/proc/powered                                                                                   34.195       34.924       40.608     35553432
/obj/machinery/portable_atmospherics/hydroponics/update_icon                                         25.524       25.967       25.991        32996
/proc/mobs_in_view                                                                                   23.237       24.222       24.425       150503
/datum/radio_frequency/proc/send_to_filter                                                           21.367       34.834       35.097       351268
/datum/gas_mixture/proc/update_values                                                                18.920       19.113       20.710      7356555
/obj/machinery/power/apc/process                                                                     17.997       64.750       65.228      1093952
/area/proc/power_change                                                                              17.354       28.294       28.349        20540
/datum/gas_mixture/proc/heat_capacity                                                                16.984       17.112       17.847      5764241
/turf/simulated/mineral/New                                                                          16.891       18.353       18.294        37427
/datum/controller/process/obj/doWork                                                                 15.509       80.303       88.538         5092
/datum/gas_mixture/proc/multiply                                                                     14.169       26.092       26.551      4741288
/obj/machinery/door/firedoor/process                                                                 12.769       17.865       19.103      6543168
/obj/machinery/door/airlock/process                                                                  12.524       21.459      169.073      5212584
/proc/get_area                                                                                       12.057       12.579       15.665     25165896
/obj/machinery/alarm/proc/overall_danger_level                                                       11.538       17.185       17.515       978216
/datum/gas_mixture/proc/react                                                                        10.118       12.939       13.455      4051233
/repository/radiation/proc/radiate                                                                    9.873        9.911        9.923         1138
/area/proc/use_power                                                                                  9.701       10.126       12.062     21035694
/obj/structure/table/update_icon                                                                      9.564        9.564        9.546         3506
/obj/machinery/power/solar/update_icon                                                                9.031        9.265        9.238        60728
/obj/machinery/door/airlock/process                                                                   8.508       33.263      181.585      5212584
/obj/machinery/atmospherics/process                                                                   8.103       10.683       11.507      4482738
/turf/simulated/return_air                                                                            7.395       10.020       10.384      2492456
/obj/machinery/alarm/process                                                                          7.240       33.264       33.695      1711883
/obj/machinery/door/process                                                                           6.857       14.598      163.965     14549238
/repository/radiation/proc/flat_radiate                                                               6.746        6.749        6.748            2
/obj/machinery/alarm/proc/get_danger_level                                                            6.641        6.798        7.529      6847512
/turf/Entered                                                                                         6.346       11.094       11.244        59752
/obj/machinery/power/solar/process                                                                    6.329        7.088        8.039      3342816
/datum/gas_mixture/proc/check_tile_graphic                                                            5.932        5.958        6.101      1304785
/datum/powernet/proc/reset                                                                            5.646        6.652        6.722       343024
/datum/random_map/automata/proc/iterate                                                               5.536       11.414       11.413            5
/obj/machinery/light/powered                                                                          5.416       15.779       16.236      3341432
/datum/gas_mixture/proc/return_pressure                                                               5.099        5.274        6.680      8048457
/mob/living/carbon/human/handle_regular_hud_updates                                                   4.873        6.327        6.328        31596
/proc/propagate_network                                                                               4.694        5.990        5.988           40
/obj/item/weapon/tank/process                                                                         4.602       17.684       18.059      1588611
/datum/proc/finalize_qdel                                                                             4.530        4.533        4.531         1354
/obj/machinery/process                                                                                4.387        4.669        7.031      9518661
/atom/movable/Del                                                                                     4.362        4.394        4.386        11203
/obj/machinery/atmospherics/unary/vent_pump/process                                                   4.240       11.779       12.108      2020587
/obj/item/device/radio/intercom/process                                                               4.228        5.663        6.069      1574566
/obj/machinery/atmospherics/pipe/simple/heat_exchanging/process                                       3.924       11.143       11.350       811258
/mob/living/Life                                                                                      3.845       40.352       40.344       273604
/mob/Stat                                                                                             3.839        4.061       81.964        39463
/obj/item/weapon/tank/proc/check_status                                                               3.558        4.381        4.731      1588611
/zone/proc/tick                                                                                       3.533       10.833       11.157      1304785
/obj/machinery/atmospherics/unary/vent_scrubber/process                                               3.103        7.802        8.187      1538890
/datum/controller/process/proc/process                                                                3.086     1443.329     1822.580       134017
/obj/machinery/shield_diffuser/process                                                                3.071        3.079        3.140       241408
/obj/machinery/power/apc/proc/update_channels                                                         3.071        5.409        5.612      1058784
/datum/controller/process/machinery/proc/internal_process_pipenets                                    3.041       80.782       93.988         5089
/obj/machinery/portable_atmospherics/hydroponics/process                                              3.016       30.085       30.204       228960
/obj/machinery/alarm/proc/handle_heating_cooling                                                      3.010        4.806        4.981       978216
/obj/machinery/portable_atmospherics/canister/process                                                 2.964       11.521       11.819       959004
/obj/machinery/atmospherics/proc/add_underlay                                                         2.930        3.191        3.203        18431
/datum/random_map/proc/get_map_cell                                                                   2.930        3.006        3.503      3466278
/obj/machinery/atmospherics/pipe/manifold/update_icon                                                 2.864        5.663        5.667         2630
/datum/controller/process/machinery/doWork                                                            2.802      944.572     1199.673         5089
/obj/machinery/meter/process                                                                          2.794        4.108        4.240       531424
/mob/living/simple_animal/Life                                                                        2.697       22.002       22.067       201272
/obj/item/weapon/tank/proc/update_gauge                                                               2.508        3.285        3.457      1303469
/datum/gas_mixture/proc/merge                                                                         2.398        4.074        4.163       583751
/datum/gas_mixture/proc/zburn                                                                         2.394        2.853        3.810      4051982
/obj/machinery/portable_atmospherics/process                                                          2.362        7.453        7.667      1208316
/obj/item/weapon/cell/update_icon                                                                     2.326        3.013        3.197      1598700
/obj/item/weapon/cell/proc/use                                                                        2.256        4.378        4.627      1099689
/datum/gas_mixture/proc/remove_ratio                                                                  2.245        4.027        4.055       199586
/obj/machinery/door/airlock/receive_signal                                                            2.238        2.303        2.521      2465900
/datum/pipeline/proc/mingle_with_turf                                                                 2.190       20.152       20.217       183039
/turf/c_airblock                                                                                      2.176        3.923        4.020       701797
/datum/pipeline/proc/radiate_heat_to_space                                                            2.147        5.789        5.925       780719
/obj/machinery/atmospherics/unary/vent_pump/receive_signal                                            2.118        2.190        2.418      2590187
/proc/game_log                                                                                        2.111        2.113        2.114          428
/obj/machinery/vending/process                                                                        2.067        2.098        2.332       895512
/datum/computer/file/embedded_program/airlock/receive_signal                                          2.050        2.076        2.201       984090
/obj/item/organ/external/proc/get_pain                                                                2.046        4.439        4.517       713504
/obj/machinery/door/airlock/proc/arePowerSystemsOn                                                    2.025        2.111        2.778      5230007
/datum/gas_mixture/proc/adjust_multi                                                                  1.949        2.982        3.002       171609
/datum/alarm/proc/process                                                                             1.846        1.860        1.920       538258
/mob/proc/update_canmove                                                                              1.804        5.076        5.113       268553
/obj/machinery/proc/power_change                                                                      1.790       10.435       10.574      1236101
/datum/light_source/proc/apply_lum                                                                    1.734        2.073        2.037         8361
/turf/simulated/mineral/update_icon                                                                   1.722        2.290        2.311        88796
/obj/item/weapon/cell/proc/percent                                                                    1.699        1.792        2.407      4174419
